match_id,match_time,team_1,team_2,ms_1,ms_x,ms_2,fh_1,fh_x,fh_2,p1_1,p1_x,p1_2,p2_1,p2_x,p2_2,p3_1,p3_x,p3_2,p4_1,p4_x,p4_2
1645034,03:00,Osos de Manati,Mets de Guaynabo,1.29,,2.36,1.70,1.64,,1.69,1.65,,,,,,,,,,
1645280,03:00,Gigantes de Carolina,Capitanes de Arecibo,1.91,,1.48,1.74,1.60,,1.63,1.71,,,,,,,,,,
1645353,03:00,Chicago Sky (K),Connecticut (K),2.67,,1.21,2.26,13.00,1.42,2.10,13.00,1.53,2.09,13.00,1.54,2.08,13.00,1.54,2.01,13.00,1.59
1642978,03:30,Indiana,Boston,2.78,,1.19,2.19,13.00,1.43,2.10,13.00,1.51,1.99,13.00,1.58,2.33,13.00,1.41,2.14,13.00,1.51
1644817,04:00,Seattle (K),Was Mystics (K),1.08,,3.73,1.25,13.00,2.85,1.39,13.00,2.43,1.40,13.00,2.39,1.41,13.00,2.39,1.46,13.00,2.26
1645272,04:00,Las Vegas A (K),Indiana (K),-,,8.64,1.05,13.00,4.83,1.19,13.00,3.32,1.21,13.00,3.13,1.21,13.00,3.18,1.29,13.00,2.74
1645247,05:00,Phoenix (K),Dallas Wings (K),1.35,,2.18,1.50,13.00,2.07,1.60,13.00,1.98,1.60,13.00,1.97,1.60,13.00,1.96,1.60,13.00,1.96
1645349,06:00,Manawatu,Whai,1.58,,1.77,1.67,1.66,,1.70,1.63,,,,,,,,,,
1645258,07:00,Western Port Steelers,Melbourne Uni Bball,6.49,,-,1.63,1.70,,,,,,,,,,,,,
1680340,07:10,R. G. K. Okinaw,Hiroshima Dr.,1.34,,2.22,1.49,13.00,2.13,1.59,12.75,2.03,1.60,12.50,2.03,1.60,13.00,2.00,1.64,12.80,1.96
1645167,08:00,Keysborough,Wyndham Basketball,1.62,,1.72,1.63,1.71,,,,,,,,,,,,,
1644842,09:30,Franklin Bulls,Nelson Giants,-,,5.14,1.68,1.65,,1.72,1.61,,,,,,,,,,
1679764,12:00,Dewa Utd Surabaya,Amartha Hangtuah Jakarta,-,,8.37,,,,,,,,,,,,,,,
1677746,13:15,Meralco,Barangay Ginebra,2.04,,1.41,2.06,13.00,1.51,2.02,13.00,1.59,1.96,13.00,1.63,1.96,13.00,1.61,1.87,12.95,1.71
1680345,14:00,Pacific Caesar Surabaya,Bali Utd,4.04,,1.05,1.72,1.62,,1.64,1.70,,,,,,,,,,
1681494,16:30,Unics Kazan,CSKA Moskova,1.51,,1.87,1.63,13.00,1.88,1.69,13.00,1.87,1.69,13.00,1.86,1.69,13.00,1.86,1.71,13.00,1.84
1677131,17:00,Ovarense,Porto,3.66,,1.08,2.83,13.00,1.26,2.43,13.00,1.39,2.39,13.00,1.41,2.38,13.00,1.41,2.24,13.00,1.47
1682753,18:00,Olympiakos,Fenerbahçe,1.53,,1.84,1.65,13.00,1.87,1.70,13.00,1.86,1.70,13.00,1.85,1.71,13.00,1.85,1.72,13.00,1.84
1683037,18:00,Gladiators Trier,Frankfurt,1.17,,2.89,1.35,13.00,2.49,1.47,12.85,2.26,1.48,12.80,2.23,1.49,12.95,2.21,1.54,12.60,2.12
1676236,18:30,M. Tel Aviv,Elitzur Kiryat Atta,-,,7.95,1.06,13.00,4.60,1.21,13.00,3.24,1.22,13.00,3.11,1.23,13.00,3.10,1.32,13.00,2.68
1680287,18:30,Hapoel Galil E.,Hapoel Haifa,1.74,,1.60,1.80,13.00,1.70,1.80,13.00,1.74,1.80,13.00,1.74,1.80,13.00,1.74,1.80,13.00,1.75
1680391,18:30,Olimp Ljubljana,Helios Suns,-,,9.63,1.70,1.64,,,,,,,,,,,,,
1661049,19:00,ASD Luiss Roma,Chiusi,1.72,,1.62,1.79,13.00,1.71,1.80,13.00,1.75,1.80,13.00,1.75,1.80,13.00,1.75,1.80,13.00,1.76
1661052,19:00,Latina,Benedetto Cento,2.06,,1.41,2.00,13.00,1.55,1.95,13.00,1.63,1.94,13.00,1.64,1.94,13.00,1.64,1.91,13.00,1.67
1661069,19:00,Agrigento,Frata Nardo,1.43,,2.00,1.58,13.00,1.96,1.65,13.00,1.93,1.66,13.00,1.92,1.66,13.00,1.92,1.68,13.00,1.89
1676246,19:00,Usti nad Labem,Nymburk,3.04,,1.15,1.69,1.64,,,,,,,,,,,,,
1677773,19:00,Gipuzkoa,CB Tizona,1.66,,1.68,1.74,13.00,1.75,1.77,13.00,1.78,1.76,13.00,1.78,1.77,13.00,1.78,1.77,13.00,1.78
1683255,19:00,Real Betis,Estudiantes,2.18,,1.35,2.08,13.00,1.51,2.00,13.00,1.60,1.99,13.00,1.60,1.98,13.00,1.61,1.94,13.00,1.64
1680304,19:00,Hapoel Eilat,Hapoel Afula,1.61,,1.73,1.71,13.00,1.79,1.74,13.00,1.80,1.74,13.00,1.80,1.74,13.00,1.80,1.75,13.00,1.80
1680368,19:00,Hap. Beer Sh,Bnei Herzelia,1.53,,1.84,1.65,13.00,1.86,1.70,13.00,1.86,1.71,13.00,1.85,1.71,13.00,1.85,1.73,13.00,1.83
1683187,19:00,Asd Del Fes Avellino,Pielle Livorno,1.78,,1.57,1.64,1.69,,,,,,,,,,,,,
1683219,19:00,Vicenza,Virtus Padova,1.35,,2.17,1.68,1.66,,,,,,,,,,,,,
1682998,20:00,Fabriano Basket,Roseto Shark,1.38,,2.11,1.66,1.68,,,,,,,,,,,,,
1683279,20:00,Pall Udinese,Cantu,1.58,,1.77,1.68,13.00,1.82,1.74,13.00,1.83,1.74,13.00,1.83,1.74,13.00,1.83,1.74,12.95,1.82
